brand,ram_gb,storage_gb,battery_mah,primary_camera_mp,front_camera_mp,screen_size_inch,weight_g,fiveg,price_inr
Oppo,3,64,4814,50,12,6.79,196,0,17009
OnePlus,3,64,5648,108,16,5.62,215,1,21954
Realme,3,64,5426,64,32,6.26,187,0,11985
Oppo,12,256,4201,108,16,6.24,181,1,37203
Xiaomi,8,32,4450,50,8,5.48,166,1,27006
Motorola,12,128,5756,64,16,6.24,213,0,24409
Realme,8,512,3306,12,32,5.4,191,0,24021
Realme,12,128,3778,12,12,5.23,181,1,26595
Oppo,12,128,5551,50,32,6.33,171,1,34624
Apple,6,32,5315,108,16,5.22,165,1,20554
Xiaomi,12,32,3007,48,16,6.89,164,1,28705
Oppo,4,32,5555,50,32,5.35,214,0,16647
Xiaomi,6,64,3475,64,16,6.13,162,1,17419
Xiaomi,12,256,4320,64,8,5.78,196,1,30049
Motorola,3,64,5211,12,32,5.24,191,0,14812
Realme,4,256,3484,64,12,5.05,226,1,15340
OnePlus,4,256,5614,50,32,6.18,170,0,21909
Motorola,4,128,3904,64,8,6.53,203,0,16892
Motorola,6,128,3558,50,8,6.6,210,0,15682
Xiaomi,12,256,4967,48,8,5.92,172,1,33730
Vivo,12,256,5285,12,8,6.48,224,1,34505
Realme,3,64,4127,64,8,6.28,141,1,13159
Apple,3,64,4233,50,12,6.38,157,1,14241
Motorola,4,128,5601,108,16,5.94,186,1,16390
OnePlus,3,32,5875,12,8,6.2,172,0,15581
Vivo,6,256,3467,48,8,6.53,223,0,17287
Vivo,12,64,5433,50,32,5.76,174,0,29033
Apple,4,128,5822,48,12,6.53,190,0,16835
Motorola,3,64,3847,48,12,6.12,157,1,11560
OnePlus,6,256,5434,64,16,5.32,227,1,27445
Realme,6,256,5924,64,12,5.05,211,1,27819
Samsung,3,512,3258,50,32,5.69,169,0,19111
OnePlus,12,32,3282,108,32,6.04,183,1,28342
Apple,3,512,4649,50,16,6.6,192,1,16984
Vivo,4,128,4898,108,32,5.24,149,0,19830
Realme,3,64,3039,48,8,6.52,226,1,13672
OnePlus,6,128,5533,12,8,6.64,191,1,24733
Samsung,3,256,5976,50,32,5.29,188,1,24150
Samsung,12,512,5267,50,16,6.62,150,1,33304
Xiaomi,8,512,4014,108,12,6.88,205,1,24810
Xiaomi,3,512,3612,48,16,6.38,197,0,21972
Oppo,12,128,5975,48,12,6.49,229,1,36164
Apple,12,256,4915,108,32,6.89,175,0,35739
Motorola,6,64,3687,48,32,6.15,172,0,12871
OnePlus,12,64,3612,64,8,5.58,186,1,27428
OnePlus,12,128,5307,12,12,6.59,152,1,31512
Motorola,12,512,5413,50,16,6.17,179,1,37747
Oppo,12,32,4781,12,32,6.1,228,1,30406
Vivo,4,128,4810,50,16,5.48,207,1,20525
Vivo,4,128,5591,64,8,6.44,181,1,18095
Oppo,6,256,5696,48,12,5.16,158,1,21277
Vivo,3,64,4547,108,12,6.76,221,0,15164
Xiaomi,12,128,4930,64,32,5.62,158,1,35304
OnePlus,3,128,5861,12,12,5.24,197,0,15614
Oppo,3,512,4152,108,32,5.84,162,1,25155
OnePlus,6,512,3574,48,8,5.08,193,0,19292
Motorola,12,32,4910,64,12,6.3,219,1,26024
Samsung,12,256,4012,108,32,6.72,204,0,29962
Xiaomi,8,32,3669,64,16,6.59,151,1,21181
Realme,3,512,3268,64,32,5.24,163,1,24349
Xiaomi,3,64,4283,48,12,5.24,173,0,12885
Oppo,4,512,3923,50,8,6.55,192,1,20269
Realme,8,256,4125,108,12,6.76,147,1,30883
Samsung,4,512,4529,48,12,5.88,157,1,22311
Oppo,4,256,4758,64,32,5.95,196,0,22102
Apple,4,256,4594,48,16,5.6,144,1,21345
OnePlus,6,256,3246,50,12,6.7,165,1,24568
Samsung,6,256,4560,108,16,6.23,169,1,21473
OnePlus,4,256,5178,50,32,5.55,193,0,18928
Vivo,8,64,5400,12,16,5.57,152,1,28023
Apple,3,32,5243,108,32,6.69,222,1,17523
Apple,8,128,4939,50,8,5.03,168,1,21484
Samsung,12,32,3929,64,16,5.61,142,1,29290
Apple,6,256,5692,108,16,6.05,229,1,21777
Realme,3,64,3226,108,8,5.28,197,0,14614
Apple,3,512,5748,48,16,5.17,215,1,20400
OnePlus,12,64,3264,64,8,6.55,141,1,31749
OnePlus,12,256,4395,12,12,6.7,214,0,30534
Oppo,4,64,4457,50,32,6.56,167,1,14237
OnePlus,6,64,3645,48,8,6.71,221,0,17640
Oppo,6,256,5258,50,16,6.05,216,1,20117
OnePlus,8,64,4418,12,8,6.54,225,1,22877
Realme,4,128,4473,12,16,5.73,215,0,15462
Motorola,4,128,5990,108,12,6.27,141,1,19185
Oppo,4,64,4387,12,8,6.88,146,1,18503
Xiaomi,4,512,4899,50,12,5.43,165,0,21797
Vivo,6,256,5504,64,32,5.74,229,1,19571
Samsung,6,128,5772,64,16,5.91,227,1,25909
OnePlus,4,512,4249,108,16,5.26,215,1,19969
Apple,8,64,3981,50,12,5.15,155,0,21497
Motorola,3,512,4154,50,32,6.58,162,1,23878
OnePlus,3,32,3587,12,8,6.86,179,0,16718
Apple,8,128,3475,50,8,5.77,199,1,20614
Vivo,4,64,4821,48,16,5.17,212,0,18484
Vivo,6,256,3985,12,12,5.13,171,1,25819
Vivo,3,64,5203,48,12,6.69,154,1,19621
Apple,12,256,4241,108,8,5.88,152,1,36308
OnePlus,12,64,3189,64,32,5.61,144,1,33048
Vivo,8,512,4440,108,32,5.91,214,0,24381
Realme,4,512,3980,64,8,5.6,213,0,16353
Oppo,3,512,4698,108,8,5.93,191,1,23802
Apple,4,32,4715,50,12,6.63,216,1,17881
Apple,3,256,5593,48,32,6.13,180,0,15631
OnePlus,8,512,3040,64,8,6.32,192,1,25639
Apple,8,32,5354,12,8,5.69,189,1,21313
Apple,12,256,3942,48,16,6.4,154,1,29338
Vivo,4,64,3337,12,8,6.27,146,0,14577
OnePlus,12,32,4337,48,8,5.23,179,0,24029
Vivo,4,128,4098,48,32,6.09,167,0,16781
Oppo,12,32,5326,108,12,5.49,171,1,35867
Motorola,6,32,3895,64,32,6.53,154,1,17633
Oppo,6,256,5320,64,12,5.81,224,1,18898
Motorola,6,64,5884,48,16,6.89,209,1,19816
Vivo,6,128,5667,50,8,5.18,204,1,18046
Oppo,3,512,4674,50,16,6.48,143,1,20522
OnePlus,6,512,5909,12,12,6.28,150,1,22832
Samsung,8,32,3930,12,32,6.46,165,0,21670
Vivo,8,256,3288,108,32,5.58,200,1,23177
Motorola,3,256,3723,48,16,5.93,176,1,16096
